"Structure Category","Structure Name","Acronym","HEX"
"frontal lobe","zona incerta","ZI","#FF5D62"
"frontal lobe","ventral tegmental area","VTA","#FF5D62"
"frontal lobe","inferior frontal gyrus, triangular part","trIFG","#FF5D62"
"frontal lobe","transverse gyri","TG","#FF5D62"
"frontal lobe","tail of the caudate nucleus","TCd","#FF5D62"
"frontal lobe","superior temporal gyrus, lateral bank of gyrus","STG-l","#FF5D62"
"frontal lobe","superior temporal gyrus, inferior bank of gyrus","STG-i","#FF5D62"
"frontal lobe","superior parietal lobule, superior bank of gyrus","SPL-s","#FF5D62"
"frontal lobe","superior parietal lobule, inferior bank of gyrus","SPL-i","#FF5D62"
"frontal lobe","spinal trigeminal nucleus","Sp5","#FF5D62"
"frontal lobe","superior occipital gyrus, superior bank of gyrus","SOG-s","#FF5D62"
"frontal lobe","substantia nigra, pars reticulata","SNR","#FF5D62"
"frontal lobe","substantia nigra, pars compacta","SNC","#FF5D62"
"frontal lobe","supramarginal gyrus, superior bank of gyrus","SMG-s","#FF5D62"
"frontal lobe","supramarginal gyrus, inferior bank of gyrus","SMG-i","#FF5D62"
"frontal lobe","short insular gyri","SIG","#FF5D62"
"frontal lobe","superior frontal gyrus, medial bank of gyrus","SFG-m","#FF5D62"
"frontal lobe","superior frontal gyrus, lateral bank of gyrus","SFG-l","#FF5D62"
"frontal lobe","subthalamic nucleus","Sb","#FF5D62"
"frontal lobe","subiculum","S","#FF5D62"
"frontal lobe","red nucleus","RN","#FF5D62"
"frontal lobe","raphe nuclei of medulla","RaM","#FF5D62"
"parietal lobe","reticular nucleus of thalamus","R","#E9BF59"
"parietal lobe","VIIB, paravermis","PV-VIIB","#E9BF59"
"parietal lobe","VI, paravermis","PV-VI","#E9BF59"
"parietal lobe","V, paravermis","PV-V","#E9BF59"
"parietal lobe","IV, paravermis","PV-IV","#E9BF59"
"parietal lobe","Crus II, paravermis","PV-Crus II","#E9BF59"
"parietal lobe","Crus I, paravermis","PV-Crus I","#E9BF59"
"parietal lobe","putamen","Pu","#E9BF59"
"parietal lobe","preoptic region","PrOR","#E9BF59"
"parietal lobe","precentral gyrus, superior lateral aspect of gyrus","PrG-sl","#E9BF59"
"parietal lobe","precentral gyrus, bank of the precentral sulcus","PrG-prc","#E9BF59"
"parietal lobe","precentral gyrus, inferior lateral aspect of gyrus","PrG-il","#E9BF59"
"temporal lobe","pontine reticular formation","PRF","#FF9200"
"temporal lobe","postcentral gyrus, superior lateral aspect of gyrus","PoG-sl","#FF9200"
"temporal lobe","postcentral gyrus, bank of the central sulcus","PoG-cs","#FF9200"
"temporal lobe","pontine nuclei","Pn","#FF9200"
"temporal lobe","planum polare","PLP","#FF9200"
"temporal lobe","parahippocampal gyrus, lateral bank of gyrus","PHG-l","#FF9200"
"temporal lobe","parahippocampal gyrus, bank of the cos","PHG-cos","#FF9200"
"temporal lobe","posterior hypothalamic area","PHA","#FF9200"
"temporal lobe","precuneus, superior lateral bank of gyrus","Pcu-s","#FF9200"
"temporal lobe","precuneus, inferior lateral bank of gyrus","Pcu-i","#FF9200"
"temporal lobe","paracentral lobule, anterior part, inferior bank of gyrus","PCLa-i","#FF9200"
"temporal lobe","occipito-temporal gyrus, superior bank of gyrus","OTG-s","#FF9200"
"temporal lobe","occipito-temporal gyrus, inferior bank of gyrus","OTG-i","#FF9200"
"temporal lobe","inferior frontal gyrus, orbital part","orIFG","#FF9200"
"temporal lobe","middle temporal gyrus, superior bank of gyrus","MTG-s","#FF9200"
"temporal lobe","middle temporal gyrus, inferior bank of gyrus","MTG-i","#FF9200"
"temporal lobe","medial orbital gyrus","MOrG","#FF9200"
"occipital lobe","medial geniculate complex","MG","#E87651"
"occipital lobe","middle frontal gyrus, superior bank of gyrus","MFG-s","#E87651"
"occipital lobe","middle frontal gyrus, inferior bank of gyrus","MFG-i","#E87651"
"occipital lobe","lateral orbital gyrus","LOrG","#E87651"
"occipital lobe","lateral medullary reticular group","LMRt","#E87651"
"occipital lobe","lingual gyrus, striate","LiG-str","#E87651"
"occipital lobe","lingual gyrus, peristriate","LiG-pest","#E87651"
"occipital lobe","long insular gyri","LIG","#E87651"
"occipital lobe","lateral hypothalamic area, mammillary region","LHM","#E87651"
"occipital lobe","dorsal lateral geneiculate nucleus","LGd","#E87651"
"insula","lateral nucleus","LA","#FFF162"
"insula","inferior temporal gyrus, bank of mts","ITG-mts","#FFF162"
"cingulate","inferior temporal gyrus, lateral bank of gyrus","ITG-l","#7E5B33"
"cingulate","inferior temporal gyrus, bank of the its","ITG-its","#7E5B33"
"cingulate","inferior olivary complex","IO","#7E5B33"
"cingulate","rostral group of intralaminar nuclei","ILr","#7E5B33"
"cingulate","caudal group of intralaminar nuclei","ILc","#7E5B33"
"cingulate","Heschl's gyrus","HG","#7E5B33"
"hippocampus","VIIIA, lateral hemisphere","He-VIIIA","#FEBA65"
"hippocampus","VIIB, lateral hemisphere","He-VIIB","#FEBA65"
"hippocampus","VI, lateral hemisphere","He-VI","#FEBA65"
"hippocampus","Crus II, lateral hemisphere","He-Crus II","#FEBA65"
"hippocampus","Crus I, lateral hemisphere","He-Crus I","#FEBA65"
"hippocampus","head of the caudate nucleus","HCd","#FEBA65"
"parahippocampus","gyrus rectus","GRe","#B48D3F"
"parahippocampus","globus pallidus, internal segment","GPi","#B48D3F"
"amygdala","gigantocellular group","GiRt","#00B4AA"
"amygdala","fusiform gyrus, bank of the its","FuG-its","#00B4AA"
"amygdala","fusiform gyrus, bank of cos","FuG-cos","#00B4AA"
"amygdala","frontal operculum","fro","#00B4AA"
"amygdala","posterior group of nuclei","DTP","#00B4AA"
"amygdala","medial group of nuclei","DTM","#00B4AA"
"basal ganglia","lateral group of nuclei, ventral division","DTLv","#4BE7B8"
"basal ganglia","lateral group of nuclei, dorsal division","DTLd","#4BE7B8"
"basal ganglia","anterior group of nuclei","DTA","#4BE7B8"
"basal ganglia","dentate nucleus","Dt","#4BE7B8"
"basal ganglia","dentate gyrus","DG","#4BE7B8"
"basal ganglia","cuneus, striate","Cun-str","#4BE7B8"
"basal ganglia","cuneus, peristriate","Cun-pest","#4BE7B8"
"basal forebrain","cuneate nucleus","Cu","#5A7DFE"
"basal forebrain","cortico-medial group","COMA","#5A7DFE"
"basal forebrain","claustrum","Cl","#5A7DFE"
"basal forebrain","cingulate gyrus, parietal part, superior bank of gyrus","CgGp-s","#5A7DFE"
"basal forebrain","cingulate gyrus, parietal part, inferior bank of gyrus","CgGp-i","#5A7DFE"
"basal forebrain","cingulate gyrus, frontal part, superior bank of gyrus","CgGf-s","#5A7DFE"
